name,dilutionM,rep,CAI1,CAI2
ChicoricAcid+AF8-0.01uM+AF8-POS+AF8-1,0.01,1,2,2
ChicoricAcid+AF8-0.05uM+AF8-POS+AF8-1,0.05,1,13, 
ChicoricAcid+AF8-0.1uM+AF8-POS+AF8-1,0.1,1,19,6
ChicoricAcid+AF8-0.2uM+AF8-POS+AF8-1,0.2,1,52,3
ChicoricAcid+AF8-0.5uM+AF8-POS+AF8-1,0.5,1,164,11
ChicoricAcid+AF8-1uM+AF8-POS+AF8-1,1,1,444,68
ChicoricAcid+AF8-2uM+AF8-POS+AF8-1,2,1,1356,90
ChicoricAcid+AF8-5uM+AF8-POS+AF8-1,5,1,5347,435
ChicoricAcid+AF8-10uM+AF8-POS+AF8-1,10,1,14240,1551
ChicoricAcid+AF8-20uM+AF8-POS+AF8-1,20,1,34655,5959
ChicoricAcid+AF8-50uM+AF8-POS+AF8-1,50,1,97284,34640
ChicoricAcid+AF8-0.01uM+AF8-POS+AF8-2,0.01,2,22,2
ChicoricAcid+AF8-0.05uM+AF8-POS+AF8-2,0.05,2, , 
ChicoricAcid+AF8-0.1uM+AF8-POS+AF8-2,0.1,2,35,17
ChicoricAcid+AF8-0.2uM+AF8-POS+AF8-2,0.2,2,86,12
ChicoricAcid+AF8-0.5uM+AF8-POS+AF8-2,0.5,2,353,28
ChicoricAcid+AF8-2uM+AF8-POS+AF8-2,1,2,896,60
ChicoricAcid+AF8-2uM+AF8-POS+AF8-2,2,2,2557,241
ChicoricAcid+AF8-5uM+AF8-POS+AF8-2,5,2,8341,863
ChicoricAcid+AF8-20uM+AF8-POS+AF8-2,10,2,20315,2346
ChicoricAcid+AF8-20uM+AF8-POS+AF8-2,20,2,51991,8358
ChicoricAcid+AF8-50uM+AF8-POS+AF8-2,50,2,119885,44680
ChicoricAcid+AF8-0.01uM+AF8-POS+AF8-3,0.01,3,1,4
ChicoricAcid+AF8-0.05uM+AF8-POS+AF8-3,0.05,3,17,9
ChicoricAcid+AF8-0.1uM+AF8-POS+AF8-3,0.1,3,72,15
ChicoricAcid+AF8-0.2uM+AF8-POS+AF8-3,0.2,3,126, 
ChicoricAcid+AF8-0.5uM+AF8-POS+AF8-3,0.5,3,333,25
ChicoricAcid+AF8-3uM+AF8-POS+AF8-3,1,3,1024,47
ChicoricAcid+AF8-2uM+AF8-POS+AF8-3,2,3,2738,270
ChicoricAcid+AF8-5uM+AF8-POS+AF8-3,5,3,8855,1071
ChicoricAcid+AF8-30uM+AF8-POS+AF8-3,10,3,20787,2345
ChicoricAcid+AF8-20uM+AF8-POS+AF8-3,20,3,53744,8571
ChicoricAcid+AF8-50uM+AF8-POS+AF8-3,50,3,139510,50521
